Key,Id,Czech(cs),English(en)
GCM_0001_crdt,2427124236677129,"""Cartridge 1936"" (https://skfb.ly/o8tAs) by P. Romero Pellitero is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Cartridge 1936"" (https://skfb.ly/o8tAs) by P. Romero Pellitero is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GCM_0002,1446878900231,Pušková nábojnice,Rifle Cartridge Case
GCM_0002_dscrpt,3871970947083,"Munice, která evidentně selhala při výstřelu, neboť střela je stále součástí a zápalka je poškozená.","The ammunition evidently misfired, as the bullet is still intact, and the primer is damaged."
GCM_0002_crdt,2427124236677130,"""Bullet with cartridge (replica)"" (https://skfb.ly/oMwPZ) by kova484 is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Bullet with cartridge (replica)"" (https://skfb.ly/oMwPZ) by kova484 is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GCM_0003,1446878900232,Zbytek brokové nábojnice,Remainder of a shotgun shell
GCM_0003_dscrpt,3871970947084,Silně poškozený zbytek nábojnice do lovecké brokovnice.,Heavily damaged remainder of a shotgun shell for a hunting shotgun.
GCM_0003_crdt,2427124236677131,Předmět ze soukromé sbírky.,Item from a private collection.
GCM_0004,1446878900233,Nábojnice do malorážky,Small calibre cartridge case
GCM_0004_dscrpt,3871970947085,Stará a poškozená nábojnice do zbraně malé ráže.,An old and damaged small-caliber cartridge case.
GCM_0004_crdt,2427124236677132,Předmět ze soukromé sbírky.,Item from a private collection.
FCC_0001,1446878900234,Měděný krejcar,Copper kreuzer
FCC_0001_dscrpt,3871970947086,Krejcar Marie Terezie z roku 1761. Průměr: 25 mm. Hmotnost: 11 gr.,Maria Theresa Kreuzer from the year 1761. Diameter: 25 mm. Weight: 11 grams.
FCC_0001_crdt,2427124236677133,Předmět ze soukromé sbírky. Exkluzivní obsah. Majitel si nepřeje být zveřejněn.,Item from a private collection. Exclusive content. The owner wishes to remain anonymous.
GCC_0001,1446878900235,1 koruna československá,1 Czechoslovak koruna
GCC_0001_dscrpt,3871970947087,"Mince Československa. Peněžní jednotka: koruna. Rok vydání: 1959. Materiál: mědˇ,hliník, mangan (91+8+1). Okraj: žebrovaný. Průměr: 23 mm. Hmotnost: 4 gr.","Coins of Czechoslovakia. Currency unit: koruna. Year of issue: 1959. Material: copper, aluminum, manganese (91+8+1). Edge: ribbed. Diameter: 23 mm. Weight: 4 g."
GCC_0001_crdt,2427124236677134,"""Coin of Czechoslovakia (1959)"" (https://skfb.ly/6YAxE) by Igor Denisov is licensed under Creative Commons Attribution-ShareAlike (http://creativecommons.org/licenses/by-sa/4.0/).","""Coin of Czechoslovakia (1959)"" (https://skfb.ly/6YAxE) by Igor Denisov is licensed under Creative Commons Attribution-ShareAlike (http://creativecommons.org/licenses/by-sa/4.0/)."
GAM_0001,27208199127166976,Hliníková přezka,Aluminum buckle
GAM_0001_dscrpt,27208199148138496,Přezka z hliníku pravděpodobně z vojenské výstroje vojáka 1. nebo 2. světové války.,"A buckle made of aluminum, likely from a soldier's military equipment from World War I or World War II."
GAM_0001_crdt,27208199148138497,Předmět ze soukromé sbírky.,Item from a private collection.
GAT_0001,1446878900236,Otvírací očko,Pull Tab
GAT_0001_dscrpt,3871970947088,Očko z hliníkové plechovky na nápoje.,Pull tab from an aluminum beverage can.
GAT_0001_crdt,2427124236677135,Předmět ze soukromé sbírky.,Item from a private collection.
GAT_0002,1446878900237,Trhací zátka,Pull tab
GAT_0002_dscrpt,3871970947089,Neidentifikovatelná trhací hliníková zátka od pivní láhve.,An unidentified aluminum pull tab from a beer bottle.
GAT_0002_crdt,2427124236677136,Předmět ze soukromé sbírky.,Item from a private collection.
GAT_0003,1446878900238,Pomačkaná hliníková fólie,Crushed aluminum foil
GAT_0003_dscrpt,3871970947090,Silně zdeformovaná a poškozená hliníková vanička od paštiky.,A heavily deformed and damaged aluminum pâté container.
GAT_0003_crdt,2427124236677137,Předmět ze soukromé sbírky.,Item from a private collection.
GAJ_0001,1446874705921,Hliníkový pamětní prsten,Aluminum commemorative ring
GAJ_0001_dscrpt,3871970947074,"Hliníkový pamětní prsten z roku 1914, pravděpodobně vyrobený vojákem jako upomínka na začátek první světové války.","An aluminum commemorative ring from 1914, likely made by a soldier as a memento of the beginning of World War I."
GAJ_0001_crdt,2427124236677121,Předmět ze soukromé sbírky.,Item from a private collection.
GLM_0001,1446878900239,Olověná kulka,Lead Bullet
GLM_0001_dscrpt,3871970947091,Kulka z perkusní zbraně pravděpodobně z období 30ti leté války.,"Bullet from a percussion firearm, probably from the Thirty Years' War period."
GLM_0001_crdt,2427124236677138,"""Melted Lead Shot"" (https://skfb.ly/os9sR) by Florida Public Archaeology Network is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Melted Lead Shot"" (https://skfb.ly/os9sR) by Florida Public Archaeology Network is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GLM_0002,1446878900240,Velká olověná kulka,Large Lead Bullet
GLM_0002_dscrpt,3871970947092,Olověná kulka z karabiny pocházející z 19. století.,Lead bullet from a carbine originating from the 19th century.
GLM_0002_crdt,2427124236677139,"""Merrill Carbine Bullet"" (https://skfb.ly/6SBqS) by BostonArchaeology is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Merrill Carbine Bullet"" (https://skfb.ly/6SBqS) by BostonArchaeology is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
ELU_0001,1446878900241,Přeslen,Spindle whorl
ELU_0001_dscrpt,3871970947093,"Přeslen z olova nebo jeho slitiny, datovaný nejspíš do středověku. Má kruhový tvar a obdélníkový průřez. Středový otvor byl odlit mírně mimo střed.","A spindle whorl made of lead or its alloy, most likely dated to the Middle Ages. It has a circular shape and a rectangular cross-section. The central hole was cast slightly off-center."
ELU_0001_crdt,2427124236677140,"""Wmid-1a88d9 - Spindle whorl"" (https://skfb.ly/oRD6s) by Staffs FLO is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Wmid-1a88d9 - Spindle whorl"" (https://skfb.ly/oRD6s) by Staffs FLO is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
ELJ_0001,1446878900242,Olověný křížek,Lead Crucifix
ELJ_0001_dscrpt,3871970947094,Středověký olověný křížek pravděpodobně nošený na krku.,Medieval lead cross probably worn around the neck.
ELJ_0001_crdt,2427124236677141,"CC0 Public Domain, Archaeological Museum in Kraków, https://muzea.malopolska.pl/en/objects-list/1574","CC0 Public Domain, Archaeological Museum in Kraków, https://muzea.malopolska.pl/en/objects-list/1574"
CIJ_0001,1446878900243,Železná spona,Iron fibula
CIJ_0001_dscrpt,3871970947095,Železná keltská šatní spona.,Iron Celtic fibula.
CIJ_0001_crdt,2427124236677142,"""Iron fibula, Poggio Pinci, Asciano"" (https://skfb.ly/owM9J) by Global Digital Heritage and GDH-Afrika is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Iron fibula, Poggio Pinci, Asciano"" (https://skfb.ly/owM9J) by Global Digital Heritage and GDH-Afrika is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
CIU_0001,1446878900244,Kovaný hřeb,Forged Nail
CIU_0001_dscrpt,3871970947096,"Kovaný hřeb z doby laténské, pravděpodobně z povozu.","Forged nail from the La Tène period, probably from a vehicle."
CIU_0001_crdt,2427124236677143,"""old rusty nail"" (https://skfb.ly/oJLC8) by andycz is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""old rusty nail"" (https://skfb.ly/oJLC8) by andycz is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
CIU_0002,1446878900245,Ohnutý kovaný hřeb,Bent Forged Nail
CIU_0002_dscrpt,3871970947097,Dobově poškozený keltský hřeb.,Period-damaged Celtic nail.
CIU_0002_crdt,2427124236677144,Předmět ze soukromé sbírky.,Item from a private collection.
CIU_0003,1446878900246,Kovaný hřeb,Forged Nail
CIU_0003_dscrpt,3871970947098,Zachovalý železný kovaný hřeb z doby laténské.,A well-preserved iron forged nail from the La Tène period.
CIU_0003_crdt,2427124236677145,"""Rusty nail"" (https://skfb.ly/o98PB) by tumgb is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Rusty nail"" (https://skfb.ly/o98PB) by tumgb is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GIU_0001,1446878900247,Korunkový uzávěr,Crown Cap
GIU_0001_dscrpt,3871970947099,Zátka z pivní lahve pivovaru Černá Hora.,Beer bottle cap from the Černá Hora brewery.
GIU_0001_crdt,2427124236677146,"""Stack Of Nuka-Cola Caps"" (https://skfb.ly/oXnQt) by jcwiki is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Stack Of Nuka-Cola Caps"" (https://skfb.ly/oXnQt) by jcwiki is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GIU_0002,1446878900248,Korunkový uzávěr,Crown Cap
GIU_0002_dscrpt,3871970947100,Zátka pravděpodobně z pivní láhve. Blíže neurčitelná.,"Cap probably from a beer bottle, indeterminable."
GIU_0002_crdt,2427124236677147,"""Stack Of Nuka-Cola Caps"" (https://skfb.ly/oXnQt) by jcwiki is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Stack Of Nuka-Cola Caps"" (https://skfb.ly/oXnQt) by jcwiki is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GIT_0001,1446878900249,Kovářský hřeb,Farrier Nail
GIT_0001_dscrpt,3871970947101,Kovaný hřeb pro připevňování podkov.,Forged nail for attaching horseshoes.
GIT_0001_crdt,2427124236677148,"""Nail_new Lp_draft"" (https://skfb.ly/oPVUY) by alexei_g is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Nail_new Lp_draft"" (https://skfb.ly/oPVUY) by alexei_g is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GIT_0002,1446878900250,Hřebík,Nail
GIT_0002_dscrpt,3871970947102,Ocelový hřebík novodobý.,Modern steel nail.
GIT_0002_crdt,2427124236677149,"""Nail_new Lp_draft"" (https://skfb.ly/oPVUY) by alexei_g is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Nail_new Lp_draft"" (https://skfb.ly/oPVUY) by alexei_g is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GIT_0003,1446878900251,Fragment hřebíku,Fragment of a Nail
GIT_0003_dscrpt,3871970947103,Úlomek ocelového novodobého hřebíku.,Fragment of a modern steel nail.
GIT_0003_crdt,2427124236677150,"""Nail_new Lp_draft"" (https://skfb.ly/oPVUY) by alexei_g is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Nail_new Lp_draft"" (https://skfb.ly/oPVUY) by alexei_g is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GIT_0004,1446878900252,Část kapesního nože,Part of a pocket knife.
GIT_0004_dscrpt,3871970947104,"Železný úlomek pravděpodobně zavíracího kapesního nože, na kterém byla připevněna střenka.","Iron fragment, likely from a folding pocket knife, on which the handle was attached."
GIT_0004_crdt,2427124236677151,Předmět ze soukromé sbírky.,Item from a private collection.
CGC_0002,1446874705920,Osmina statéru,Eighth of a Stater
CGC_0002_dscrpt,3871970947073,1/8 zlatého keltského statéru.,1/8 of a Celtic gold stater.
CGC_0002_crdt,2427124236677120,,
